month,log_biomasa,post_2011,fuente,sst,sst_anom,uwnd_ms,vwnd_ms,onshore_cozumel_ms,sst_anom_lag1
2000-03,-2.7396471505281608,0,mendeley,,,,,,
2000-04,-3.976684337750019,0,mendeley,,,,,,
2000-05,-3.1430351801019767,0,mendeley,,,,,,
2000-06,-5.476345193436277,0,mendeley,,,,,,
2000-07,-3.9874698178453873,0,mendeley,,,,,,
2000-08,-2.010377032491683,0,mendeley,,,,,,
2000-09,-2.396218654600201,0,mendeley,,,,,,
2000-10,-3.0898528956888964,0,mendeley,,,,,,
2000-11,-3.304329678681762,0,mendeley,,,,,,
2000-12,-4.44937471999693,0,mendeley,,,,,,
2001-01,-4.416287951637575,0,mendeley,,,,,,
2001-02,-4.7472406157442775,0,mendeley,,,,,,
2001-03,-3.938437059959798,0,mendeley,,,,,,
2001-04,-4.939009932535893,0,mendeley,,,,,,
2001-05,-3.8560176529943364,0,mendeley,,,,,,
2001-06,-5.0299051130649035,0,mendeley,,,,,,
2001-07,-4.070967755247306,0,mendeley,,,,,,
2001-08,-3.359715379216595,0,mendeley,,,,,,
2001-09,-3.3526501707533254,0,mendeley,,,,,,
2001-10,-3.2244407156936394,0,mendeley,,,,,,
2001-11,-3.881593608788681,0,mendeley,,,,,,
2001-12,-4.627853679634232,0,mendeley,,,,,,
2002-01,-5.061070646420318,0,mendeley,,,,,,
2002-02,-5.749653955952966,0,mendeley,,,,,,
2002-03,-4.308336896417567,0,mendeley,,,,,,
2002-04,-3.8412258384892315,0,mendeley,,,,,,
2002-05,-4.132374779874324,0,mendeley,,,,,,
2002-06,-3.6909896916342544,0,mendeley,,,,,,
2002-07,-3.051665957856896,0,mendeley,,,,,,
2002-08,-3.9451273205965687,0,mendeley,,,,,,
2002-09,-3.481903001098958,0,mendeley,,,,,,
2002-10,-3.355640902361837,0,mendeley,,,,,,
2002-11,-3.625705560609337,0,mendeley,,,,,,
2002-12,-4.907576596215368,0,mendeley,,,,,,
2003-01,-5.306907360422089,0,mendeley,,,,,,
2003-02,-4.794005093830723,0,mendeley,,,,,,
2003-03,-3.1173143088066744,0,mendeley,,,,,,
2003-04,-3.907763159952515,0,mendeley,,,,,,
2003-05,-3.635852333018491,0,mendeley,,,,,,
2003-06,-3.929820944008039,0,mendeley,,,,,,
2003-07,-3.4288763812031373,0,mendeley,,,,,,
2003-08,-3.2334159798119337,0,mendeley,,,,,,
2003-09,-3.087185107792194,0,mendeley,,,,,,
2003-10,-1.2975315085301975,0,mendeley,,,,,,
2003-11,-3.578020574741787,0,mendeley,,,,,,
2003-12,-4.633302585382526,0,mendeley,,,,,,
2004-01,-4.227572531619021,0,mendeley,,,,,,
2004-02,-3.8782951960566034,0,mendeley,,,,,,
2004-03,-3.089698847661035,0,mendeley,,,,,,
2004-04,-3.8580599174485575,0,mendeley,,,,,,
2004-05,-5.020831712388231,0,mendeley,,,,,,
2004-06,-5.136997048080361,0,mendeley,,,,,,
2004-07,-4.583464164094251,0,mendeley,,,,,,
2004-08,-5.197427785077729,0,mendeley,,,,,,
2004-09,-4.177621423720067,0,mendeley,,,,,,
2004-10,-4.448410208422812,0,mendeley,,,,,,
2004-11,-3.3695630203909364,0,mendeley,,,,,,
2004-12,-2.610944740701818,0,mendeley,,,,,,
2005-01,-4.4898509017542985,0,mendeley,,,,,,
2005-02,-2.9763968980372573,0,mendeley,,,,,,
2005-03,-3.55985519568628,0,mendeley,,,,,,
2005-04,-3.0302616238496505,0,mendeley,,,,,,
2005-05,-3.406777463455772,0,mendeley,,,,,,
2005-06,-4.92537296817719,0,mendeley,,,,,,
2005-07,-4.2715895742646754,0,mendeley,,,,,,
