year,month,biomasa_mt
2011,1,0.0023
2011,2,0.0180
2011,3,0.0002
2011,4,0.0016
2011,5,0.0014
2011,6,0.0170
2011,7,0.0016
2011,8,0.0136
2011,9,0.0101
2011,10,0.0067
2012,1,0.0064
2012,2,0.0042
2012,3,0.0160
2012,4,0.0170
2012,5,0.0100
2012,6,0.0330
2012,7,0.0043
2012,8,0.0130
2012,9,0.0680
2012,10,0.0231
2012,11,0.0440
2012,12,0.0022
2013,1,0.0054
2013,2,0.0002
2013,3,0.0008
2013,4,0.0004
2013,5,0.0006
2013,6,0.0107
2013,7,0.0053
2013,8,0.0490
2013,9,0.0520
2013,10,0.0196
2013,11,0.0187
2013,12,0.0009
2014,1,0.0120
2014,2,0.0004
2014,3,0.0008
2014,4,0.0018
2014,5,0.0010
2014,6,0.0016
2014,7,0.0006
2014,8,0.0233
2014,9,0.0291
2014,10,0.0382
2014,11,0.0591
2014,12,0.0813
2015,1,0.0584
2015,2,0.0078
2015,3,0.0350
2015,4,0.0310
2015,5,0.0107
2015,6,0.0398
2015,7,0.1123
2015,8,0.1728
2015,9,0.0608
2015,10,0.0036
2015,11,0.0675
2015,12,0.0114
2016,1,0.0690
2016,2,0.0220
2016,3,0.0001
2016,4,0.0000
2016,5,0.0003
2016,6,0.0150
2016,7,0.0002
2016,8,0.0002
2016,9,0.0190
2016,10,0.0027
2016,11,0.0034
2016,12,0.0060
2017,1,0.0016
2017,2,0.0046
2017,3,0.0167
2017,4,0.0440
2017,5,0.0350
2017,6,0.0005
2017,7,0.1330
2017,8,0.0678
2017,9,0.0522
2017,10,0.0016
2017,11,0.0250
2017,12,0.0410
2018,1,0.0150
2018,2,0.0264
2018,3,0.0388
2018,4,0.0859
2018,5,0.1706
2018,6,0.1205
2018,7,0.1591
2018,8,0.2432
2018,9,0.1147
2018,10,0.0744
2018,11,0.0368
2018,12,0.0397
2019,1,0.0457
2019,2,0.1234
2019,3,0.0442
2019,4,0.2666
2019,5,0.0672
2019,6,0.0973
2019,7,0.2579
2019,8,0.0222
2019,9,0.0161
2019,10,0.0470
2019,11,0.0088
2019,12,0.0026
2020,1,0.0024
2020,2,0.0005
2020,3,0.0250
2020,4,0.0008
2020,5,0.0350
2020,6,0.1954
2020,7,0.2875
2020,8,0.0089
2020,9,0.0550
2020,10,0.0072
2020,11,0.0460
2020,12,0.0114
2021,1,0.0650
2021,2,0.0001
2021,3,0.0220
2021,4,0.0098
2021,5,0.0388
2021,6,0.0131
2021,7,0.2131
2021,8,0.1056
2021,9,0.0461
2021,10,0.0401
2021,11,0.0350
2021,12,0.0550
2022,1,0.0021
2022,2,0.0075
2022,3,0.1191
2022,4,0.2250
2022,5,0.1998
2022,6,0.2034
2022,7,0.2427
2022,8,0.2209
2022,9,0.2169
2022,10,0.0061
2022,11,0.0390
2022,12,0.0063
2023,1,0.0790
2023,2,0.0965
2023,3,0.0819
2023,4,0.0911
2023,5,0.0959
2023,6,0.0481
2023,7,0.0052
2023,8,0.0653
2023,9,0.0162
2023,10,0.0190
2023,11,0.0108
2023,12,0.0156
2024,1,0.0470
2024,2,0.0020
2024,3,0.0190
2024,4,0.0196
2024,5,0.0787
2024,6,0.0128
2024,7,0.0146
2024,8,0.0413
2024,9,0.0210
2024,10,0.0390
2025,1,0.0150
2025,2,0.0343
2025,3,0.1387
2025,4,0.1723
2025,5,0.4598
2025,6,0.4009
2025,7,0.8708
2025,8,1.1970
2025,9,0.0423
2025,10,0.0053
2025,11,0.0249
2026,1,0.2233
2026,2,0.0904
2026,3,0.3896
2026,4,0.6573
