time,year,month,uwnd_ms,vwnd_ms,wspd_ms,wdir_deg,onshore_cozumel_ms,month_key
2020-01-01,2020,1,-4.22,-1.37,4.43,197.9,-3.91,2020-01
2020-02-01,2020,2,-4.03,-0.95,4.14,193.2,-3.49,2020-02
2020-03-01,2020,3,-5.23,0.15,5.23,178.4,-3.55,2020-03
2020-04-01,2020,4,-3.67,1.74,4.06,154.6,-1.35,2020-04
2020-05-01,2020,5,-3.81,0.41,3.84,173.8,-2.38,2020-05
2020-06-01,2020,6,-4.15,0.81,4.23,169.0,-2.34,2020-06
2020-07-01,2020,7,-3.58,-0.06,3.59,181.0,-2.55,2020-07
2020-08-01,2020,8,-2.87,-0.19,2.88,183.7,-2.14,2020-08
2020-09-01,2020,9,-2.11,0.06,2.11,178.3,-1.43,2020-09
2020-10-01,2020,10,-1.98,-1.36,2.4,214.4,-2.33,2020-10
2020-11-01,2020,11,-3.09,-3.36,4.56,227.4,-4.51,2020-11
2020-12-01,2020,12,-3.14,-2.22,3.84,215.3,-3.75,2020-12
2021-01-01,2021,1,-3.57,-2.03,4.11,209.6,-3.92,2021-01
2021-02-01,2021,2,-3.56,-0.37,3.58,185.9,-2.75,2021-02
2021-03-01,2021,3,-4.69,-0.24,4.69,182.9,-3.45,2021-03
2021-04-01,2021,4,-4.3,0.6,4.35,172.1,-2.59,2021-04
2021-05-01,2021,5,-4.73,0.68,4.78,171.8,-2.84,2021-05
2021-06-01,2021,6,-4.06,1.4,4.29,161.0,-1.86,2021-06
2021-07-01,2021,7,-3.9,-0.3,3.91,184.4,-2.94,2021-07
2021-08-01,2021,8,-3.35,-0.02,3.35,180.4,-2.37,2021-08
2021-09-01,2021,9,-3.15,0.4,3.18,172.7,-1.93,2021-09
2021-10-01,2021,10,-2.11,-0.61,2.2,196.0,-1.9,2021-10
2021-11-01,2021,11,-2.37,-3.24,4.01,233.8,-3.93,2021-11
2021-12-01,2021,12,-3.82,-0.68,3.88,190.1,-3.15,2021-12
2022-01-01,2022,1,-2.57,-2.01,3.26,218.0,-3.2,2022-01
2022-02-01,2022,2,-4.09,-2.05,4.57,206.6,-4.3,2022-02
2022-03-01,2022,3,-4.16,-0.31,4.18,184.3,-3.13,2022-03
2022-04-01,2022,4,-4.59,0.04,4.59,179.5,-3.19,2022-04
2022-05-01,2022,5,-3.97,0.97,4.08,166.2,-2.1,2022-05
2022-06-01,2022,6,-3.22,0.1,3.22,178.2,-2.18,2022-06
2022-07-01,2022,7,-3.86,-0.35,3.88,185.1,-2.95,2022-07
2022-08-01,2022,8,-3.38,-0.18,3.38,183.0,-2.49,2022-08
2022-09-01,2022,9,-1.84,-0.73,1.98,201.6,-1.8,2022-09
2022-10-01,2022,10,-2.63,-1.56,3.06,210.7,-2.94,2022-10
2022-11-01,2022,11,-3.0,-1.32,3.27,203.7,-3.02,2022-11
2022-12-01,2022,12,-3.89,-1.62,4.22,202.6,-3.86,2022-12
2023-01-01,2023,1,-3.92,-0.58,3.96,188.5,-3.15,2023-01
2023-02-01,2023,2,-4.37,-0.59,4.41,187.6,-3.47,2023-02
2023-03-01,2023,3,-4.31,0.95,4.41,167.6,-2.35,2023-03
2023-04-01,2023,4,-3.57,0.9,3.68,165.9,-1.87,2023-04
2023-05-01,2023,5,-3.09,-0.0,3.09,180.0,-2.16,2023-05
2023-06-01,2023,6,-2.57,1.25,2.86,154.1,-0.93,2023-06
2023-07-01,2023,7,-3.89,-0.15,3.89,182.3,-2.83,2023-07
2023-08-01,2023,8,-2.18,-0.06,2.18,181.5,-1.57,2023-08
2023-09-01,2023,9,-2.02,-0.43,2.06,192.1,-1.72,2023-09
2023-10-01,2023,10,-2.6,-1.23,2.88,205.3,-2.68,2023-10
2023-11-01,2023,11,-2.63,-2.58,3.69,224.5,-3.65,2023-11
2023-12-01,2023,12,-2.78,-2.57,3.79,222.8,-3.75,2023-12
2024-01-01,2024,1,-3.29,-0.78,3.38,193.3,-2.85,2024-01
2024-02-01,2024,2,-1.96,-0.88,2.15,204.1,-1.99,2024-02
2024-03-01,2024,3,-3.22,0.87,3.33,164.9,-1.64,2024-03
2024-04-01,2024,4,-4.45,0.08,4.45,179.0,-3.06,2024-04
2024-05-01,2024,5,-3.89,2.07,4.41,152.0,-1.28,2024-05
2024-06-01,2024,6,-3.71,1.8,4.12,154.1,-1.33,2024-06
2024-07-01,2024,7,-3.59,-0.37,3.61,185.8,-2.77,2024-07
2024-08-01,2024,8,-1.9,-0.55,1.98,196.2,-1.72,2024-08
2024-09-01,2024,9,-1.66,0.45,1.71,164.9,-0.84,2024-09
2024-10-01,2024,10,-2.4,-2.05,3.15,220.5,-3.11,2024-10
